keys,en,sv,ja
ENTER_NAME,Enter a nickname,Skriv in ett namn,?????????
SUBMIT,Submit,Bekräfta,??
CREATE_RBTN,Create room,Skapa rum,??????
JOIN_RBTN,Join room,Gå med i rum,???????
CHOOSE_RNAME,Choose a name for your room,Välj ett namn till ditt rum,??????????
ENTER_RNAME,Enter the name of the room,Skriv in rummets namn,?????????
STARTING_GAME,Starting game...,Startar spelet...,??????????
TRADING_PHASE,Trading phase,Bytesfas,????
WAITING_FPLY,Waiting for players,Inväntar spelare,??????????
OPLYR_IN_ROOM,1 player in room,1 spelare i rummet,1?????????
PLYRS_IN_ROOM, players in room, spelare i rummet,?????????
START_GAME,Start game!!,Starta spel!!,??????
HTSMT0C,You have to select more than 0 cards,Du måste välja fler än 0 kort,????????????????
INYTY,It's not your turn yet,Det är inte din tur ännu,?????????
YMNPTCN,You may not play that card now,Du år inte spela det kortet ännu,????????????
YMNPTCH,You may not place that card here,Du får inte spela det kortet här,???????????????????
YMNPTHCH,You may not place those cards here,Du får inte spela de korten här,???????????????????
