keys,en,sv,ja,nb,
AEHO,An error has occurred,Ett fel har uppstått,エラーが発生しました,Det har oppstått en feil
AGAIN,Play again,Spela igen,再びプレイ,Spille en gang til
AYSYWTL,Are you certain that you want to leave?,Är du säker på att du vill lämna?,本当に離れたいですか,Er du sikker på att du vil forlate?
CANCEL,Cancel,Avbryt,キャンセル,Avbryt
CHOOSE_RNAME,Choose a name for your room,Välj ett namn till ditt rum,ルームに名前をつけて,Velg et navn til rommet ditt
CREATE_RBTN,Create room,Skapa rum,ルームを作る,Skape rom
DONE,Done,Klar,終わった,Klar
DONE_TRDNG,Done trading,Klar med byten,交換は完了,Bytten klare
ENTER_NAME,Enter a nickname,Skriv in ett namn,ニックネームを入力,Skriv in et navn
ENTER_RNAME,Enter the name of the room,Skriv in rummets namn,ルームの名前を入力,Skriv in navnet til rommet
HTSMT0C,You have to select more than 0 cards,Du måste välja fler än 0 kort,０より多くのカードを選びて下さい,Du må velge mer enn 0 kort
INYTY,It's not your turn yet,Det är inte din tur ännu,まだ君の番ではない,Det er ikke din tur
JOIN_RBTN,Join room,Gå med i rum,ルームに加わる,Bli med i rom
LEAVE,Leave,Lämna,離れて,Forlate
LEFT,Left,Stack,出かけた,Stakk
OPLAYERS_DONE,0 players are done,0 spelare är klara,0人のゲーマーが完了,
OPLYR_IN_ROOM,1 player in room,1 spelare i rummet,1人のゲーマーがいる,1 spillere i rommet
PICK_UP,Pick up,Plocka,取り上げて,Plukke opp
PLAYERS_DONE, players are done, spelare är klara,人のゲーマーが完了, spillere klare
PLAYING_PHASE,Playing phase,Spelfas,プレイの時期,Spillfase
PLYRS_IN_ROOM, players in room, spelare i rummet,人のゲーマーがいる, spillere i rommet
PRO,Pro,Proffs,プロ,Proff
RESULTS,Results,Resultat,成績,Sluttresultat
RETRY,Retry,Försök igen,再試行,Prøv på nytt
STARTING_GAME,Starting game...,Startar spelet...,ゲームを始める。。。,Starter spillet...
START_GAME,Start game!!,Starta spel!!,スタート！！,Begynn spillet
SUBMIT,Submit,Bekräfta,適用,Bekrefte
TAKE_CHANCE,Take a chance,Chansa,チャンスをつかんで,Sjanse
TRADING_PHASE,Trading phase,Bytesfas,交換の時期,byttesfase
UNLUCKY,Unlucky,Otursam,因果,Uflaks
UTRS,Unable to reach server,Kan inte nå servern,サーバーに接続できません,kan ikke nå servern
WAITING_FPLY,Waiting for players,Inväntar spelare,ゲーマーズを待ってる,venter på spillere
WTPA, want to play again, vill spela igen, は再びプレイしたい, vil spille igjen
YMNPCDTP,You may not place cards during the trading phase,Du får inte placera kort under bytesfasen,交換の時期にカードを選びてはいけない,Du får ikke plassere kort der under byttesfasen
YMNPTCH,You may not place that card here,Du får inte spela det kortet här,そのカードはこの堆に置いてはいけません,Du får ikke plassere kortet her
YMNPTCN,You may not play that card now,Du får inte spela det kortet ännu,そのカードはまだダメです,Du får ikke spille dette kortet ennå
YMNPTHCH,You may not place those cards here,Du får inte spela de korten här,そのカードはこの堆に置いてはいけません,Du får ikke spille disse korten her
